MEMNAME;NAME;TYPE;VARNUM;FORMATL;NOBS;PK;TYPE_VAR
"CTR";"IDT_AC";1;1;20;200;1;"NUMERIC"
"CTR";"REF_CTR_INN";2;2;13;200;0;"CHARACTER"
"CTR";"DAT_OUV_CTR";1;3;10;200;0;"DATE"
"CTR";"COD_ECV_CTR";2;4;1;200;0;"CHARACTER"
"CTR";"DAT_ECV_CTR";1;5;10;200;0;"DATE"
"CTR";"DAT_CLO_CTR";1;6;10;200;0;"DATE"
"CTR";"COD_DEV";2;7;3;200;0;"CHARACTER"
"CTR";"SLD_CTR";1;8;17;200;0;"NUMERIC"
"CTR";"DAT_MAJ_SLD";1;9;10;200;0;"DATE"
"CTR";"SLD_DSP";1;10;17;200;0;"NUMERIC"
"CTR";"MNT_INI";1;11;17;200;0;"NUMERIC"
"TIE";"IDT_PI";1;1;20;100;1;"NUMERIC"
"TIE";"NUM_TIE";2;2;13;100;0;"CHARACTER"
"TIE";"COD_TYP_TIE";2;3;1;100;0;"CHARACTER"
"TIE";"COD_STA_FED";2;4;1;100;0;"CHARACTER"
"TIE";"DAT_STA_FED";1;5;10;100;0;"DATE"
"TIE";"DAT_PRE_CTR";1;6;10;100;0;"DATE"
"TIE";"DAT_DER_CTR";1;7;10;100;0;"DATE"
"TIE";"DAT_NAI";1;8;10;100;0;"DATE"
"TIE";"COD_LNG_CTR";2;9;3;100;0;"CHARACTER"
"TIE";"DAT_DCS";1;10;9;100;0;"DATE"
"TIE";"COD_SEX";2;11;1;100;0;"CHARACTER"
"TIE_ADR";"IDT_PI";1;1;20;100;1;"NUMERIC"
"TIE_ADR";"NUM_TIE";2;2;13;100;0;"CHARACTER"
"TIE_ADR";"NOM_TIE";2;3;128;100;0;"CHARACTER"
"TIE_ADR";"PRN";2;4;50;100;0;"CHARACTER"
"TIE_ADR";"ADR_LIG1";2;5;100;100;0;"CHARACTER"
"TIE_ADR";"ADR_LIG2";2;6;100;100;0;"CHARACTER"
"TIE_ADR";"ADR_LIG3";2;7;100;100;0;"CHARACTER"
"TIE_ADR";"ADR_LIG4";2;8;100;100;0;"CHARACTER"
"TIE_ADR";"ADR_LIG5";2;9;100;100;0;"CHARACTER"
"TIE_ADR";"ADR_LIG6";2;10;100;100;0;"CHARACTER"
"TIE_ADR";"NUM_TEL_DOM_INL";2;11;20;100;0;"CHARACTER"
"TIE_ADR";"NUM_TEL_MOB_INL";2;12;20;100;0;"CHARACTER"
"TIE_ADR";"ADR_EMA";2;13;160;100;0;"CHARACTER"
"TIE_ADR";"NOM_VIL";2;14;60;100;0;"CHARACTER"
"TIE_ADR";"COD_IDT_NTN";2;15;20;100;0;"CHARACTER"
"TIE_ADR";"DAT_MAJ_ADR";1;16;9;100;0;"DATE"
"TIE_ADR";"LIB_TIT";2;17;32;100;0;"CHARACTER"
"TIE_ADR";"COD_PST";2;18;15;100;0;"CHARACTER"
"TIE_ADR";"COD_PAY_ISO";2;19;2;100;0;"CHARACTER"
"TIE_ADR";"NOM_CMU_NAI";2;20;35;100;0;"CHARACTER"
"TIE_X_CTR";"IDT_PI";1;1;20;200;1;"NUMERIC"
"TIE_X_CTR";"IDT_AC";1;2;20;200;1;"NUMERIC"
"TIE_X_CTR";"NUM_TIE";2;3;13;200;0;"CHARACTER"
"TIE_X_CTR";"REF_CTR_INN";2;4;13;200;0;"CHARACTER"
"TIE_X_CTR";"FLG_PRE_TTL";2;5;1;200;0;"CHARACTER"
"TIE_X_CTR";"COD_ROL_TTL";2;6;1;200;0;"CHARACTER"
"TXN_X_CTR";"IDT_AC";1;1;20;1260;1;"NUMERIC"
"TXN_X_CTR";"REF_CTR_INN";2;2;13;1260;0;"CHARACTER"
"TXN_X_CTR";"NUM_FOL_XTR";2;3;5;1260;1;"CHARACTER"
"TXN_X_CTR";"DAT_CRE_MVT_CPB";1;4;10;1260;1;"DATE"
"TXN_X_CTR";"NUM_ORD_MVT_CPB";2;5;5;1260;1;"CHARACTER"
"TXN_X_CTR";"COD_LNG_RIU";2;6;3;1260;0;"CHARACTER"
"TXN_X_CTR";"LIB_OPE_INL_1";2;7;80;1260;0;"CHARACTER"
"TXN_X_CTR";"LIB_OPE_INL_2";2;8;80;1260;0;"CHARACTER"
"TXN_X_CTR";"LIB_OPE_INL_3";2;9;80;1260;0;"CHARACTER"
"TXN_X_CTR";"LIB_OPE_INL_4";2;10;80;1260;0;"CHARACTER"
